"filename", "language", "Java", "SQLite", "comment", "blank", "total"
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/mapper/PropertiesMapper.java", "Java", 80, 0, 2, 13, 95
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/mapper/RefreshTokenMapper.java", "Java", 16, 0, 0, 9, 25
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/mapper/SchedulesMapper.java", "Java", 67, 0, 3, 14, 84
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/mapper/TokensMapper.java", "Java", 13, 0, 0, 6, 19
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/mapper/UserMapper.java", "Java", 39, 0, 2, 9, 50
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/repository/AuditLogRepository.java", "Java", 7, 0, 3, 3, 13
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/repository/CustomerRepository.java", "Java", 7, 0, 2, 4, 13
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/repository/HistoryRepository.java", "Java", 7, 0, 2, 4, 13
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/repository/PermissionRepository.java", "Java", 7, 0, 0, 3, 10
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/repository/PlaguesRepository.java", "Java", 7, 0, 2, 4, 13
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/repository/PrivilegeRepository.java", "Java", 0, 0, 11, 1, 12
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/repository/PropertiesRepository.java", "Java", 7, 0, 2, 4, 13
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/repository/RefreshTokenRepository.java", "Java", 10, 0, 0, 6, 16
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/repository/RolesRepository.java", "Java", 9, 0, 0, 4, 13
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/repository/SchedulesRepository.java", "Java", 7, 0, 2, 5, 14
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/repository/ServicesRepository.java", "Java", 7, 0, 2, 4, 13
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/repository/StatusRepository.java", "Java", 7, 0, 2, 4, 13
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/repository/UsersRepository.java", "Java", 8, 0, 2, 3, 13
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/service/AuditLogService.java", "Java", 17, 0, 0, 5, 22
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/service/CustomerService.java", "Java", 44, 0, 0, 15, 59
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/service/HistoryService.java", "Java", 29, 0, 0, 11, 40
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/service/JWTService.java", "Java", 131, 0, 5, 38, 174
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/service/PlaguesService.java", "Java", 29, 0, 0, 11, 40
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/service/PrivilegeService.java", "Java", 0, 0, 39, 0, 39
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/service/PropertiesService.java", "Java", 41, 0, 1, 16, 58
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/service/RolesService.java", "Java", 29, 0, 0, 11, 40
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/service/SchedulesService.java", "Java", 44, 0, 0, 14, 58
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/service/ServicesService.java", "Java", 29, 0, 0, 11, 40
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/service/StatusService.java", "Java", 29, 0, 0, 11, 40
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/service/UsersService.java", "Java", 66, 0, 0, 22, 88
"/media/Windows/Projects/facul-temp/PragJava/prag/src/main/java/com/antiprag/prag/service/UsuarioDetailService.java", "Java", 47, 0, 0, 10, 57
"Total", "-", 2264, 184, 282, 601, 3331
